plant,genotype
Q38,IL_8.3
H12,IL_12.1
K12,IL_5.2
S21,IL_2.1
J14,IL_12.1
S10,IL_11.3
H36,IL_9.3
K14,IL_9.3.1
Q21,IL_11.3
I2,IL_7.5
D28,IL_12.4
O17,IL_8.1.5
P4,IL_12.1.1
S5,IL_4.1.1
N9,IL_7.2
T34,IL_12.1.1
D38,IL_11.4.1
G3,m82
G5,IL_11.1
H19,IL_7.5
S4,IL_5.5
O38,IL_5.5
N19,IL_11.1
K32,IL_5.5
D25,IL_8.2
R33,IL_2.1
E13,IL_9.3.1
O1,IL_10.3
I13,IL_1.4.18
I23,IL_5.1
R37,IL_12.3
M12,IL_2.6
L10,IL_9.2.5
M15,IL_2.5
M7,IL_11.4
M26,IL_8.2
I37,IL_10.2.2
I14,IL_1.4
D11,IL_12.3
L39,IL_7.2
O33,IL_8.2
M9,IL_6.4
G26,IL_12.1.1
L14,IL_12.1
N24,IL_3.1
O10,IL_7.2
R16,IL_11.4
P37,IL_6.3
M27,m82
O29,IL_4.2
D17,IL_10.3
K26,IL_12.1.1
Q10,IL_2.5
E26,IL_8.1.1
N26,IL_2.4
O24,IL_1.2
C38,IL_10.2
K1,IL_1.1.2
M35,IL_12.2
F37,IL_2.1
B18,IL_5.1
B39,IL_4.3.2
R21,IL_4.1.1
J4,IL_12.4.1
T25,IL_9.3.2
H16,IL_2.1
R11,IL_8.2.1
K6,IL_5.1
I19,IL_7.5.5
F4,IL_9.3.2
G20,IL_9.1
O15,IL_2.6
H5,IL_11.3
G35,IL_8.1.5
Q12,IL_12.1.1
L35,IL_3.3
S32,IL_2.6
F21,IL_6.4
I7,IL_1.1.2
N38,IL_4.1.1
R13,IL_10.1.1
B19,IL_2.6
P35,IL_9.3.1
I33,IL_9.3.1
L29,IL_10.2.2
K20,IL_10.1.1
S28,IL_12.3.1
I6,IL_1.1.3
D30,m82
I21,IL_7.2
A1,IL_6.3
T22,IL_5.2
G32,IL_5.5
A26,IL_2.1.1
E37,IL_8.1
O40,IL_4.4
T16,IL_12.4
T40,IL_5.1
A18,IL_9.3.1
O26,IL_1.1.2
P39,IL_2.1
N1,IL_4.1
N20,IL_10.2.2
O22,IL_2.5
C37,IL_10.1.1
S40,IL_4.4
J13,IL_2.1
N25,IL_9.3
L15,IL_6.2
B40,IL_6.4
H8,IL_1.1.3
T14,IL_8.1.5
O8,IL_5.1
R28,IL_4.3.2
K4,IL_1.1.3
O34,IL_2.6.5
L23,IL_2.6.5
C27,IL_9.2.5
P6,IL_11.3
D10,IL_2.1
N7,IL_11.3
R26,IL_8.2
O9,IL_7.1
L1,IL_12.4.1
G10,IL_3.5
G31,IL_4.1.1
M20,m82
T26,IL_7.5.5
J17,IL_4.4
H28,IL_12.3
G17,IL_6.4
B12,IL_11.4.1
S30,IL_8.1.1
G1,IL_10.3
J27,IL_2.2
R40,IL_11.4.1
S35,IL_8.2.1
H22,IL_12.3.1
E16,IL_8.3
C39,IL_4.1
E12,IL_2.6.5
K29,IL_11.1
C22,IL_9.3.1
N39,IL_2.2
F24,IL_7.4.1
E38,IL_4.1.1
M36,IL_1.4
F34,IL_12.3.1
L28,IL_8.2
Q3,IL_2.6.5
D7,IL_7.3
P1,IL_11.1
R9,IL_9.3.2
J3,m82
K23,IL_4.1
L9,IL_10.3
J10,IL_12.4
L31,IL_1.1
M17,IL_5.1
K2,IL_2.6
H6,IL_8.2
N21,IL_12.1.1
J28,IL_8.2
M39,IL_9.3.1
D29,IL_12.4.1
I15,IL_2.5
O28,IL_4.1.1
D39,IL_4.2
A10,IL_11.2
J12,IL_2.6
O14,m82
K37,IL_12.4
H24,IL_8.1
O31,IL_11.2
H9,IL_4.4
G27,IL_3.1
A25,IL_12.4.1
P24,IL_9.3
